;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Manu;Observer;Evie
0;1;0;[];1;;;23;995;995;995;995;995;995;995
1;2;23;['SpongeBob'];1;Evie;63;4;967;985;985;990;985;990;1048
2;3;46;['AggressiveLauncher'];1;AlwaysLauncher;17;2;957;975;992;934;975;985;1038
3;4;92;['AggressiveLauncher'];1;Mission failure;9;8;952;965;982;832;965;980;1033
4;5;184;['AggressiveLauncher'];1;AggressiveLauncher;16;9;947;955;972;654;955;975;1023
5;6;368;['AggressiveLauncher'];1;PassiveLauncher;22;1;937;967;962;276;945;970;1018
6;7;367;['PassiveLauncher'];1;PassiveLauncher;16;3;932;606;952;266;935;965;1008
7;8;366;['PassiveLauncher'];1;SpongeBob;11;2;933;230;942;261;925;960;998
8;9;261;['AggressiveLauncher'];1;Mission failure;15;4;928;220;932;-10;915;955;988
9;10;220;['PassiveLauncher'];1;PassiveLauncher;13;1;918;3;922;-10;905;950;978
10;11;4;['Manu'];1;PassiveLauncher;17;10;913;10;912;-10;891;945;968
11;12;10;['SpongeBob'];1;Manu;17;4;893;0;902;-10;898;940;963
12;13;4;['SpongeBob', 'Manu'];1;Manu;34;5;884;-10;892;-10;918;935;953
13;14;5;['SpongeBob'];1;Manu;20;2;869;-10;882;-10;928;930;948
14;15;4;['Manu'];1;Manu;32;0;864;-10;872;-10;946;925;938
15;16;4;['Manu'];1;Evie;11;4;854;-10;862;-10;932;920;939
16;17;4;['SpongeBob', 'Manu'];1;Manu;20;5;845;-10;852;-10;938;915;929
17;18;5;['SpongeBob'];1;Manu;12;15;835;-10;842;-10;940;910;919
18;19;15;['SpongeBob'];1;SpongeBob;29;46;839;-10;832;-10;930;905;909
19;20;46;['SpongeBob'];1;Evie;66;2;788;-10;822;-10;920;900;965
20;21;4;['Manu'];1;AlwaysLauncher;6;2;783;-10;818;-10;906;895;955
21;22;4;['Manu'];1;Evie;14;9;773;-10;808;-10;892;890;959
22;23;9;['SpongeBob'];1;Evie;18;13;759;-10;798;-10;882;885;967
23;24;13;['SpongeBob'];1;AlwaysLauncher;24;3;736;-10;812;-10;872;880;957
24;25;4;['Manu'];1;Manu;12;4;731;-10;802;-10;870;875;947
25;26;4;['SpongeBob', 'Manu'];1;Mission failure;23;4;722;-10;792;-10;856;870;937
26;27;4;['SpongeBob', 'Manu'];1;AlwaysLauncher;24;6;708;-10;806;-10;842;865;927
27;28;6;['SpongeBob'];1;Evie;10;1;697;-10;796;-10;832;860;927
28;29;4;['Manu'];1;AlwaysLauncher;14;3;687;-10;800;-10;818;855;917
29;30;4;['Manu'];1;AlwaysLauncher;11;0;682;-10;801;-10;804;850;907
30;31;4;['Manu'];1;Manu;7;34;677;-10;791;-10;797;845;902
31;32;34;['SpongeBob'];1;Evie;84;6;633;-10;781;-10;787;840;976
32;33;6;['SpongeBob'];1;AlwaysLauncher;18;1;622;-10;789;-10;777;835;966
33;34;4;['Manu'];1;Manu;32;10;612;-10;779;-10;795;830;956
34;35;10;['SpongeBob'];1;Manu;38;5;597;-10;769;-10;823;825;946
35;36;5;['SpongeBob'];1;SpongeBob;21;17;603;-10;759;-10;813;820;936
36;37;17;['SpongeBob'];1;Manu;41;13;581;-10;749;-10;844;815;926
37;38;13;['SpongeBob'];1;AlwaysLauncher;17;2;563;-10;756;-10;834;810;916
38;39;4;['Manu'];1;SpongeBob;17;14;570;-10;746;-10;820;805;906
39;40;14;['SpongeBob'];1;Evie;33;15;551;-10;736;-10;810;800;929
40;41;15;['SpongeBob'];1;Evie;24;22;526;-10;726;-10;800;795;943
41;42;22;['SpongeBob'];1;Manu;79;8;499;-10;716;-10;869;790;933
