;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Manu;Evie;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;10;995;995;995;995;995;995;0.0;0.0;0.0;
1;2;10;['SpongeBob'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher'];26;8;980;985;1011;990;990;990;10.0;10.0;10.0;
2;3;20;['AggressiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];16;5;975;975;1001;960;985;996;14.0;4.0;14.0;
3;4;40;['AggressiveLauncher'];1;Evie;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];19;15;965;965;991;910;980;1005;19.0;5.0;19.0;
4;5;80;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Manu', 'Evie'];36;1;960;955;981;856;970;995;10.0;10.0;10.0;
5;6;160;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher'];17;5;955;945;971;703;965;990;11.0;1.0;11.0;
6;7;320;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];28;4;973;935;961;378;960;980;18.0;7.0;18.0;
7;8;378;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher'];13;3;968;925;951;3;955;975;20.0;2.0;20.0;
8;9;340;['PassiveLauncher'];1;AlwaysLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];29;11;958;575;970;-7;950;965;23.0;3.0;23.0;
9;10;306;['PassiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'Manu', 'Evie'];21;3;953;259;960;-7;940;976;1.0;1.0;1.0;
10;11;259;['PassiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];17;26;948;-10;967;-7;935;966;2.0;1.0;7.0;5.0
