;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;6;995;995;995;995;995;995;995;995;3.0;3.0;3.0;
1;2;6;['SpongeBob'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];19;10;984;985;1004;990;985;990;990;990;7.0;4.0;7.0;
2;3;12;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];21;11;979;975;994;989;975;985;985;985;16.0;9.0;16.0;
3;4;24;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];27;7;996;965;984;955;965;980;980;980;22.0;6.0;22.0;
4;5;48;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];18;11;991;955;974;915;955;975;975;975;29.0;7.0;29.0;
5;6;96;['AggressiveLauncher'];1;Manu;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu'];33;2;981;945;964;809;945;998;970;970;2.0;2.0;2.0;
6;7;192;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];14;16;976;935;954;621;935;993;965;965;2.0;0.0;2.0;
7;8;384;['AggressiveLauncher'];1;AggressiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample1', 'Sample2'];36;5;966;925;944;263;925;988;955;955;9.0;7.0;9.0;
8;9;346;['PassiveLauncher'];1;Mission failure;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];12;9;961;569;934;253;915;983;950;950;11.0;2.0;11.0;
9;10;311;['PassiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];27;10;978;248;924;243;905;978;945;945;20.0;9.0;20.0;
10;11;248;['PassiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];19;5;973;-10;914;238;914;973;940;940;27.0;7.0;27.0;
11;12;238;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];20;5;983;-10;904;-10;904;968;935;935;27.0;0.0;27.0;
12;13;5;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher'];12;33;973;-10;906;-10;899;963;930;930;35.0;8.0;35.0;
13;14;33;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];64;0;935;-10;896;-10;889;1017;920;920;4.0;4.0;4.0;
14;15;4;['Sample1', 'Sample2'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];21;9;946;-10;886;-10;879;1012;911;911;5.0;1.0;5.0;
15;16;9;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];28;3;927;-10;904;-10;869;1007;906;906;6.0;1.0;6.0;
16;17;3;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];20;4;919;-10;914;-10;859;1002;901;901;15.0;9.0;15.0;
17;18;4;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];44;38;905;-10;948;-10;849;997;896;896;21.0;6.0;21.0;
18;19;38;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];90;5;862;-10;938;-10;839;1077;886;886;5.0;5.0;5.0;
19;20;7;['Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];28;1;880;-10;928;-10;829;1072;874;881;9.0;4.0;9.0;
20;21;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];10;0;875;-10;918;-10;827;1067;869;876;15.0;6.0;15.0;
21;22;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];10;4;870;-10;908;-10;825;1062;864;871;22.0;7.0;22.0;
22;23;4;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];23;22;856;-10;921;-10;815;1057;859;866;28.0;6.0;28.0;
23;24;22;['SpongeBob'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];47;2;824;-10;911;-10;805;1047;849;903;10.0;10.0;10.0;
24;25;4;['Sample1', 'Sample2'];1;Evie;['AlwaysLauncher', 'Evie'];10;5;819;-10;901;-10;805;1042;840;894;16.0;6.0;16.0;
25;26;5;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample2'];40;4;844;-10;891;-10;795;1037;835;884;21.0;5.0;21.0;
26;27;4;['SpongeBob', 'Sample2'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];10;6;835;-10;891;-10;785;1032;830;875;26.0;5.0;26.0;
27;28;6;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];24;3;819;-10;881;-10;775;1027;844;870;34.0;8.0;34.0;
28;29;4;['Sample1'];1;Mission failure;['AlwaysLauncher', 'Evie', 'Manu'];20;2;814;-10;871;-10;765;1017;835;865;5.0;5.0;5.0;
29;30;2;['SpongeBob', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];58;2;807;-10;861;-10;811;1012;830;860;14.0;9.0;14.0;
