;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;2;995;995;995;995;995;995;995;995;4.0;4.0;4.0;
1;2;5;['Sample1'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];18;37;990;985;985;985;1003;990;985;990;11.0;7.0;11.0;
2;3;37;['SpongeBob'];1;Manu;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu', 'Sample1'];55;3;948;975;975;975;993;1035;975;985;6.0;6.0;6.0;
3;4;74;['AggressiveLauncher'];1;AggressiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];14;8;938;965;965;905;983;1030;970;980;7.0;1.0;7.0;
4;5;148;['AggressiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];16;4;933;971;955;747;973;1025;965;975;15.0;8.0;15.0;
5;6;296;['AggressiveLauncher'];1;PassiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];10;13;923;971;945;446;963;1020;960;970;24.0;9.0;24.0;
6;7;446;['AggressiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample2'];28;8;918;961;963;-10;953;1015;955;960;31.0;7.0;31.0;
7;8;401;['PassiveLauncher'];1;Manu;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Manu'];19;2;908;550;953;-10;943;1024;950;955;3.0;3.0;3.0;
8;9;361;['PassiveLauncher'];1;Mission failure;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];14;10;903;179;943;-10;933;1019;945;950;5.0;2.0;5.0;
9;10;179;['PassiveLauncher'];1;Evie;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Sample1'];37;8;893;-10;933;-10;960;1014;935;945;13.0;8.0;13.0;
10;11;8;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];19;5;880;-10;923;-10;950;1009;930;954;16.0;3.0;16.0;
11;12;7;['Sample1'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];16;7;870;-10;929;-10;940;1004;918;949;26.0;10.0;26.0;
12;13;7;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];46;55;858;-10;919;-10;930;1040;913;944;3.0;3.0;3.0;
13;14;55;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];69;4;793;-10;909;-10;920;1035;972;934;9.0;6.0;9.0;
14;15;7;['Sample1', 'Sample2'];1;Evie;['AlwaysLauncher', 'Evie'];9;13;788;-10;899;-10;919;1030;960;922;13.0;4.0;13.0;
15;16;13;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];75;22;765;-10;889;-10;984;1025;955;917;23.0;10.0;23.0;
16;17;22;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];44;3;738;-10;879;-10;974;1059;945;912;4.0;4.0;4.0;
17;18;14;['Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;14;741;-10;869;-10;964;1054;926;907;7.0;3.0;7.0;
18;19;14;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];27;14;722;-10;859;-10;954;1049;943;897;8.0;1.0;8.0;
19;20;14;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];22;18;720;-10;849;-10;944;1044;938;892;15.0;7.0;15.0;
20;21;18;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];26;9;697;-10;839;-10;934;1060;933;887;1.0;1.0;1.0;
21;22;9;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];15;7;678;-10;844;-10;924;1055;928;882;2.0;1.0;2.0;
22;23;7;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];21;1;666;-10;855;-10;914;1050;923;877;8.0;6.0;8.0;
