;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;12;995;995;995;995;995;995;995;995;5.0;5.0;5.0;
1;2;12;['SpongeBob'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];18;9;978;1003;985;990;985;990;990;990;7.0;2.0;7.0;
2;3;24;['AggressiveLauncher'];1;AggressiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher'];22;25;968;993;975;978;980;985;985;985;12.0;5.0;12.0;
3;4;48;['AggressiveLauncher'];1;Sample1;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample1', 'Sample2'];35;5;963;983;965;920;970;980;1010;975;21.0;9.0;21.0;
4;5;96;['AggressiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];59;3;958;973;955;814;1019;975;1005;970;26.0;5.0;26.0;
5;6;192;['AggressiveLauncher'];1;Mission failure;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];22;3;948;963;945;612;1009;970;1000;965;36.0;10.0;36.0;
6;7;384;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];11;8;943;953;935;229;999;965;995;960;44.0;8.0;44.0;
7;8;346;['PassiveLauncher'];1;AlwaysLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu'];20;6;933;597;945;219;989;955;990;955;9.0;9.0;9.0;
8;9;311;['PassiveLauncher'];1;Sample1;['PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];38;7;928;276;935;214;979;950;1018;945;18.0;9.0;18.0;
9;10;276;['PassiveLauncher'];1;Mission failure;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];17;4;923;-10;925;204;969;945;1013;940;28.0;10.0;28.0;
10;11;204;['AggressiveLauncher'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu'];20;23;913;-10;915;-10;959;955;1008;935;5.0;5.0;5.0;
11;12;23;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Sample2'];33;2;885;-10;938;-10;949;950;1003;925;11.0;6.0;11.0;
12;13;4;['Sample2'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];16;8;875;-10;944;-10;939;945;998;916;11.0;0.0;11.0;
13;14;8;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];24;7;862;-10;934;-10;953;940;993;911;12.0;1.0;12.0;
14;15;7;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];20;9;865;-10;924;-10;943;935;988;906;15.0;3.0;15.0;
15;16;9;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];18;86;851;-10;914;-10;933;930;983;914;20.0;5.0;;
