;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;33;995;995;995;995;995;995;995;995;5.0;5.0;5.0;
1;2;33;['SpongeBob'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];40;5;957;985;1025;985;985;990;990;990;8.0;3.0;8.0;
2;3;66;['AggressiveLauncher'];1;AlwaysLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];21;11;947;975;1036;909;975;985;985;985;16.0;8.0;16.0;
3;4;132;['AggressiveLauncher'];1;Sample2;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Sample2'];53;4;942;965;1026;767;970;980;980;1028;24.0;8.0;24.0;
4;5;264;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher'];12;15;944;955;1016;493;965;975;975;1023;27.0;3.0;27.0;
5;6;493;['AggressiveLauncher'];1;Manu;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu'];27;4;939;945;1006;-10;955;992;970;1018;9.0;9.0;9.0;
6;7;444;['PassiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];12;2;941;491;996;-10;945;987;965;1013;15.0;6.0;15.0;
7;8;400;['PassiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];9;8;936;81;986;-10;944;982;960;1008;16.0;1.0;16.0;
8;9;81;['PassiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];59;9;931;49;976;-10;934;977;955;1003;17.0;1.0;17.0;
9;10;49;['PassiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];16;39;926;6;966;-10;924;972;950;998;17.0;0.0;17.0;
10;11;39;['SpongeBob'];1;Sample2;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];76;6;877;-4;956;-10;914;967;940;1064;19.0;2.0;19.0;
11;12;6;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];17;1;878;-4;946;-10;904;962;935;1059;22.0;3.0;22.0;
12;13;7;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher'];7;2;873;-4;943;-10;899;957;923;1054;23.0;1.0;23.0;
13;14;2;['SpongeBob', 'Evie'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];11;7;861;-4;944;-10;887;952;918;1049;28.0;5.0;28.0;
14;15;7;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];18;80;849;-4;952;-10;877;947;913;1044;32.0;4.0;;
15;16;80;['SpongeBob'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];135;4;759;-4;942;-10;867;937;903;1169;4.0;4.0;4.0;
16;17;7;['Sample1', 'Sample2'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1'];26;1;754;-4;932;-10;857;932;912;1157;4.0;0.0;4.0;
17;18;8;['Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];9;2;753;-4;922;-10;847;927;899;1152;4.0;0.0;4.0;
18;19;2;['SpongeBob', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];15;35;746;-4;912;-10;850;922;894;1147;6.0;2.0;6.0;
