;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;5;995;995;995;995;995;995;995;995;9.0;9.0;9.0;
1;2;5;['SpongeBob', 'Sample1'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];37;6;985;985;1022;985;985;990;985;990;19.0;10.0;19.0;
2;3;10;['AggressiveLauncher'];1;AlwaysLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];25;7;975;975;1037;965;975;985;980;985;25.0;6.0;25.0;
3;4;20;['AggressiveLauncher'];1;Mission failure;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu'];27;20;970;965;1027;935;965;975;975;980;4.0;4.0;4.0;
4;5;40;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample2'];34;37;994;955;1017;885;955;970;970;970;5.0;1.0;5.0;
5;6;80;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample1'];59;6;989;945;1007;854;945;965;960;965;12.0;7.0;12.0;
6;7;160;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];24;6;1003;935;997;684;935;960;955;960;12.0;0.0;12.0;
7;8;320;['AggressiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];13;1;998;925;1000;354;925;955;950;955;13.0;1.0;13.0;
8;9;354;['AggressiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];13;2;993;915;990;-10;928;950;945;950;16.0;3.0;16.0;
9;10;319;['PassiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];49;1;988;586;1029;-10;918;945;940;945;22.0;6.0;22.0;
10;11;287;['PassiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];10;62;988;289;1019;-10;908;940;935;940;32.0;10.0;;
11;12;258;['PassiveLauncher'];1;Sample2;['PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];77;3;983;21;1009;-10;898;930;925;1007;3.0;3.0;3.0;
12;13;21;['PassiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];17;6;990;-10;999;-10;888;925;920;1002;6.0;3.0;6.0;
13;14;10;['Sample1'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];23;17;985;-10;989;-10;878;920;905;1015;11.0;5.0;11.0;
14;15;17;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];29;2;958;-10;979;-10;897;915;895;1010;15.0;4.0;15.0;
15;16;4;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie'];13;19;953;-10;969;-10;900;910;886;1005;15.0;0.0;15.0;
16;17;19;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Sample1'];34;2;929;-10;993;-10;890;905;876;1000;17.0;2.0;17.0;
17;18;6;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie'];11;9;924;-10;983;-10;891;900;865;995;20.0;3.0;20.0;
18;19;9;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];60;10;965;-10;973;-10;881;895;860;990;20.0;0.0;20.0;
19;20;10;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Sample2'];22;49;950;-10;963;-10;876;890;855;1002;28.0;8.0;;
20;21;49;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];73;9;891;-10;953;-10;866;880;918;997;6.0;6.0;6.0;
21;22;9;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];30;0;877;-10;973;-10;856;875;913;992;7.0;1.0;7.0;
22;23;2;['Evie'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher'];24;2;867;-10;987;-10;849;870;908;987;12.0;5.0;12.0;
23;24;2;['SpongeBob', 'Evie'];1;Mission failure;['AlwaysLauncher', 'Evie'];10;8;860;-10;977;-10;837;865;903;982;15.0;3.0;15.0;
24;25;8;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];19;12;861;-10;967;-10;827;860;898;977;15.0;0.0;15.0;
25;26;12;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];24;10;844;-10;957;-10;817;855;912;967;16.0;1.0;16.0;
26;27;10;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];34;19;858;-10;947;-10;807;850;907;962;17.0;1.0;17.0;
27;28;19;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie', 'Manu'];49;1;834;-10;937;-10;846;840;902;957;9.0;9.0;9.0;
