;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;15;995;995;995;995;995;995;995;995;7.0;7.0;7.0;
1;2;15;['SpongeBob'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];23;12;975;985;985;985;1008;990;990;990;14.0;7.0;14.0;
2;3;30;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];25;28;990;975;975;945;998;985;985;985;15.0;1.0;15.0;
3;4;60;['AggressiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu'];44;11;985;965;1009;875;988;975;980;980;9.0;9.0;9.0;
4;5;120;['AggressiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];20;59;980;955;999;745;998;970;975;975;9.0;0.0;9.0;
5;6;240;['AggressiveLauncher'];1;Sample2;['PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];115;1;975;945;989;500;988;965;965;1080;15.0;6.0;15.0;
6;7;480;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];13;4;978;935;979;10;978;960;960;1075;19.0;4.0;19.0;
7;8;432;['PassiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];17;26;973;510;969;0;968;955;955;1070;22.0;3.0;22.0;
8;9;389;['PassiveLauncher'];1;Manu;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Manu', 'Sample1', 'Sample2'];38;6;968;111;959;-10;963;983;945;1060;5.0;5.0;5.0;
9;10;111;['PassiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];24;5;982;-10;949;-10;953;978;940;1055;8.0;3.0;8.0;
10;11;19;['Sample1'];1;Mission failure;['AlwaysLauncher'];9;11;977;-10;939;-10;948;973;916;1050;10.0;2.0;10.0;
11;12;11;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample2'];22;8;978;-10;929;-10;938;968;911;1040;10.0;0.0;10.0;
12;13;8;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];23;4;960;-10;942;-10;928;963;901;1035;12.0;2.0;12.0;
13;14;4;['SpongeBob', 'Sample1'];1;Evie;['AlwaysLauncher', 'Evie'];34;1;951;-10;932;-10;952;958;892;1030;15.0;3.0;15.0;
14;15;2;['Evie'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];18;70;959;-10;922;-10;940;953;887;1025;23.0;8.0;;
15;16;70;['SpongeBob'];1;Mission failure;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];87;0;884;-10;912;-10;930;943;877;1015;5.0;5.0;5.0;
16;17;7;['Sample1', 'Sample2'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];30;9;879;-10;932;-10;920;938;865;1003;14.0;9.0;14.0;
17;18;9;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];37;1;860;-10;922;-10;947;933;860;998;18.0;4.0;18.0;
18;19;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];151;3;855;-10;912;-10;1086;928;855;993;19.0;1.0;19.0;
19;20;3;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];20;5;847;-10;922;-10;1076;923;850;988;25.0;6.0;25.0;
20;21;5;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;19;845;-10;912;-10;1066;918;845;983;30.0;5.0;30.0;
21;22;19;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];33;5;821;-10;902;-10;1056;908;835;1006;7.0;7.0;7.0;
22;23;5;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];14;36;820;-10;892;-10;1046;903;830;1001;15.0;8.0;;
23;24;36;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];46;11;779;-10;882;-10;1036;893;866;996;7.0;7.0;7.0;
24;25;11;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];16;46;763;-10;888;-10;1026;888;861;991;10.0;3.0;10.0;
25;26;46;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];59;16;707;-10;878;-10;1016;878;910;981;2.0;2.0;2.0;
26;27;16;['SpongeBob', 'Sample1'];1;Mission failure;['AlwaysLauncher', 'Evie', 'Sample1'];23;12;686;-10;868;-10;1006;873;884;976;11.0;9.0;11.0;
27;28;17;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];34;1;681;-10;892;-10;996;868;862;971;11.0;0.0;11.0;
28;29;2;['Evie'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];12;5;683;-10;882;-10;984;863;857;966;13.0;2.0;13.0;
29;30;5;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher'];11;52;673;-10;883;-10;979;858;852;961;17.0;4.0;17.0;
30;31;52;['SpongeBob'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];66;20;611;-10;873;-10;969;914;842;951;10.0;10.0;10.0;
31;32;20;['SpongeBob'];1;Mission failure;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];82;7;586;-10;863;-10;959;904;832;946;10.0;10.0;10.0;
32;33;10;['Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];38;10;614;-10;853;-10;949;899;817;941;17.0;7.0;17.0;
33;34;10;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];17;2;599;-10;843;-10;939;906;812;936;10.0;10.0;10.0;
34;35;2;['SpongeBob', 'Evie'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];22;60;609;-10;833;-10;927;901;807;931;13.0;3.0;13.0;
35;36;60;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];111;4;650;-10;823;-10;917;891;797;921;10.0;10.0;10.0;
36;37;7;['Sample1', 'Sample2'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];78;3;645;-10;891;-10;907;886;785;909;17.0;7.0;17.0;
37;38;3;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];12;4;637;-10;881;-10;909;881;780;904;25.0;8.0;25.0;
38;39;4;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];15;5;623;-10;871;-10;914;876;775;899;25.0;0.0;25.0;
39;40;5;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];9;55;613;-10;870;-10;904;871;770;894;26.0;1.0;26.0;
40;41;55;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];74;21;548;-10;934;-10;894;861;760;884;10.0;10.0;10.0;
41;42;21;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];30;1;522;-10;954;-10;884;851;750;879;3.0;3.0;3.0;
42;43;10;['Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];8;47;520;-10;944;-10;874;846;735;874;9.0;6.0;9.0;
43;44;47;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Manu', 'Sample1', 'Sample2'];64;4;468;-10;934;-10;869;836;789;864;6.0;6.0;6.0;
