;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;11;995;995;995;995;995;995;995;995;9.0;9.0;9.0;
1;2;11;['SpongeBob'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];55;1;1029;985;985;985;985;990;990;990;16.0;7.0;16.0;
2;3;22;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];9;6;1024;975;975;962;975;985;985;985;25.0;9.0;25.0;
3;4;44;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];32;9;1019;965;965;940;965;980;980;980;25.0;0.0;25.0;
4;5;88;['AggressiveLauncher'];1;AggressiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher'];19;1;1009;955;955;861;960;975;975;975;25.0;0.0;25.0;
5;6;176;['AggressiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];12;16;1004;945;945;675;962;970;970;970;35.0;10.0;35.0;
6;7;352;['AggressiveLauncher'];1;Sample1;['PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];36;1;999;935;935;318;952;960;996;965;2.0;2.0;2.0;
7;8;318;['AggressiveLauncher'];1;AlwaysLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher'];29;15;989;925;954;-10;947;955;991;960;6.0;4.0;6.0;
8;9;286;['PassiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Sample2'];35;3;984;664;944;-10;937;950;986;950;13.0;7.0;13.0;
9;10;257;['PassiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];14;3;979;397;948;-10;927;945;981;945;17.0;4.0;17.0;
10;11;231;['PassiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];10;43;979;156;938;-10;917;940;976;940;26.0;9.0;;
11;12;156;['PassiveLauncher'];1;Sample1;['PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];55;31;974;-10;928;-10;907;930;1021;930;10.0;10.0;10.0;
12;13;31;['SpongeBob'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];41;0;933;-10;918;-10;897;961;1016;920;6.0;6.0;6.0;
13;14;10;['Sample2'];1;Evie;['AlwaysLauncher', 'Evie'];9;11;928;-10;908;-10;896;956;1011;905;7.0;1.0;7.0;
14;15;11;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];23;56;930;-10;898;-10;886;951;1006;900;7.0;0.0;7.0;
15;16;56;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];73;2;869;-10;888;-10;876;946;996;963;10.0;3.0;10.0;
16;17;10;['Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;12;872;-10;878;-10;866;941;981;958;19.0;9.0;19.0;
17;18;12;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];21;13;855;-10;868;-10;856;952;976;953;0.0;0.0;0.0;
18;19;13;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];37;6;869;-10;858;-10;846;947;971;948;9.0;9.0;9.0;
19;20;6;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];30;2;858;-10;848;-10;866;942;966;943;18.0;9.0;18.0;
20;21;2;['SpongeBob', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];23;2;851;-10;861;-10;854;937;961;938;25.0;7.0;25.0;
21;22;2;['SpongeBob', 'Evie'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];12;4;851;-10;851;-10;842;932;956;933;35.0;10.0;35.0;
22;23;4;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];34;37;842;-10;841;-10;866;927;951;928;36.0;1.0;36.0;
23;24;37;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];55;4;800;-10;831;-10;856;917;941;973;1.0;1.0;1.0;
24;25;4;['SpongeBob', 'Sample1', 'Sample2'];1;Mission failure;['SpongeBob', 'AlwaysLauncher', 'Evie'];97;8;786;-10;821;-10;846;912;932;964;10.0;9.0;10.0;
25;26;8;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];14;2;773;-10;825;-10;836;907;927;959;20.0;10.0;20.0;
26;27;2;['SpongeBob', 'Evie'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];10;13;771;-10;815;-10;824;902;922;954;25.0;5.0;25.0;
27;28;13;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];27;6;753;-10;805;-10;841;892;912;944;1.0;1.0;1.0;
28;29;6;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];19;10;756;-10;795;-10;831;887;907;939;3.0;2.0;3.0;
29;30;10;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];36;5;741;-10;785;-10;857;882;902;934;10.0;7.0;10.0;
30;31;5;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];18;21;744;-10;775;-10;847;877;897;929;12.0;2.0;12.0;
31;32;21;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];76;8;789;-10;765;-10;837;872;887;924;18.0;6.0;18.0;
32;33;8;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];23;6;776;-10;755;-10;850;867;882;919;22.0;4.0;22.0;
33;34;10;['Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;22;779;-10;745;-10;840;862;867;914;24.0;2.0;24.0;
34;35;22;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];32;11;752;-10;735;-10;830;884;862;904;6.0;6.0;6.0;
35;36;11;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];26;3;731;-10;725;-10;846;879;857;899;12.0;6.0;12.0;
36;37;3;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];15;1;733;-10;715;-10;836;874;852;894;14.0;2.0;14.0;
37;38;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];23;14;728;-10;705;-10;847;869;847;889;17.0;3.0;17.0;
38;39;14;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];53;31;704;-10;695;-10;837;864;890;884;23.0;6.0;;
39;40;31;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];42;81;668;-10;685;-10;869;854;885;874;2.0;2.0;2.0;
40;41;81;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];108;8;577;-10;675;-10;859;849;983;869;8.0;6.0;8.0;
41;42;10;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie'];12;8;572;-10;665;-10;861;844;968;864;13.0;5.0;13.0;
42;43;8;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];16;4;559;-10;655;-10;867;839;963;859;17.0;4.0;17.0;
43;44;4;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher'];45;3;590;-10;645;-10;862;834;958;854;27.0;10.0;27.0;
44;45;3;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;5;590;-10;635;-10;852;829;953;849;37.0;10.0;37.0;
45;46;5;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];17;19;580;-10;642;-10;842;824;948;844;39.0;2.0;39.0;
46;47;19;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];32;4;556;-10;632;-10;832;814;970;839;8.0;8.0;8.0;
47;48;4;['SpongeBob', 'Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];24;4;566;-10;622;-10;822;809;961;834;18.0;10.0;18.0;
48;49;4;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample2'];80;2;632;-10;612;-10;812;804;956;824;23.0;5.0;23.0;
49;50;4;['Sample2'];1;Evie;['AlwaysLauncher', 'Evie'];9;22;627;-10;602;-10;811;799;951;815;28.0;5.0;28.0;
50;51;22;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];35;11;600;-10;592;-10;801;824;941;810;4.0;4.0;4.0;
51;52;11;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample2'];46;8;625;-10;582;-10;791;819;936;800;6.0;2.0;6.0;
52;53;8;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];15;10;612;-10;587;-10;781;814;931;795;16.0;10.0;16.0;
53;54;10;['SpongeBob', 'Sample1'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];24;9;592;-10;577;-10;771;809;935;790;21.0;5.0;21.0;
54;55;11;['Sample1'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];18;34;587;-10;567;-10;761;817;919;785;6.0;6.0;6.0;
55;56;34;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample2'];46;2;589;-10;557;-10;751;812;914;775;15.0;9.0;15.0;
56;57;4;['Sample2'];1;Evie;['AlwaysLauncher', 'Evie'];31;11;584;-10;547;-10;772;807;909;766;16.0;1.0;16.0;
57;58;11;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];21;11;568;-10;537;-10;762;802;904;777;17.0;1.0;17.0;
58;59;11;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];26;7;573;-10;527;-10;752;797;899;772;19.0;2.0;19.0;
59;60;7;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];37;5;561;-10;517;-10;779;792;894;767;25.0;6.0;25.0;
60;61;5;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];40;2;586;-10;507;-10;769;787;889;762;32.0;7.0;32.0;
61;62;2;['SpongeBob', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher'];4;9;579;-10;501;-10;762;782;884;757;32.0;0.0;32.0;
62;63;9;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];18;6;565;-10;509;-10;752;777;879;752;41.0;9.0;41.0;
63;64;6;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];14;3;563;-10;499;-10;742;772;874;747;42.0;1.0;42.0;
64;65;3;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];14;3;555;-10;489;-10;746;767;869;742;46.0;4.0;46.0;
65;66;3;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];38;2;542;-10;517;-10;736;762;864;737;50.0;4.0;50.0;
66;67;2;['SpongeBob', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];14;27;535;-10;507;-10;738;757;859;732;60.0;10.0;60.0;
67;68;27;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];45;7;543;-10;497;-10;728;747;849;722;6.0;6.0;6.0;
68;69;7;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];15;3;531;-10;487;-10;733;742;844;717;8.0;2.0;8.0;
69;70;7;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie'];12;2;526;-10;477;-10;735;737;832;712;18.0;10.0;18.0;
70;71;2;['SpongeBob', 'Evie'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher'];19;4;533;-10;467;-10;728;732;827;707;24.0;6.0;24.0;
71;72;4;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];15;11;524;-10;472;-10;718;727;822;702;29.0;5.0;29.0;
72;73;11;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];36;10;503;-10;462;-10;708;717;848;692;8.0;8.0;8.0;
73;74;10;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];21;8;504;-10;452;-10;698;712;843;687;12.0;4.0;12.0;
74;75;8;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];17;14;491;-10;442;-10;688;707;838;694;19.0;7.0;19.0;
75;76;14;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu'];23;7;490;-10;432;-10;678;697;833;689;8.0;8.0;8.0;
76;77;7;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];22;7;478;-10;422;-10;690;692;828;684;13.0;5.0;13.0;
77;78;7;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];19;4;480;-10;412;-10;680;687;823;679;21.0;8.0;21.0;
78;79;4;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];14;12;471;-10;402;-10;684;682;818;674;27.0;6.0;27.0;
79;80;12;['SpongeBob'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];28;3;449;-10;392;-10;674;672;813;692;1.0;1.0;1.0;
80;81;4;['Sample2'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];25;13;444;-10;407;-10;664;667;808;683;10.0;9.0;10.0;
81;82;13;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];31;6;452;-10;397;-10;654;662;803;678;11.0;1.0;11.0;
82;83;6;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];27;3;441;-10;414;-10;644;657;798;673;17.0;6.0;17.0;
83;84;3;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];7;7;433;-10;411;-10;634;652;793;668;24.0;7.0;24.0;
84;85;7;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];18;12;434;-10;401;-10;624;647;788;663;28.0;4.0;28.0;
85;86;12;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];27;3;417;-10;391;-10;614;642;778;680;38.0;10.0;38.0;
86;87;4;['Sample1', 'Sample2'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu'];20;6;407;-10;381;-10;604;652;769;671;9.0;9.0;9.0;
87;88;6;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher'];23;3;396;-10;394;-10;599;647;764;666;17.0;8.0;17.0;
88;89;3;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];17;5;388;-10;384;-10;606;642;759;661;19.0;2.0;19.0;
89;90;5;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];16;4;389;-10;374;-10;596;637;754;656;28.0;9.0;28.0;
90;91;4;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];12;3;375;-10;364;-10;598;632;749;651;33.0;5.0;33.0;
91;92;3;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];46;23;408;-10;354;-10;588;627;744;646;40.0;7.0;40.0;
